id,language_id,en,ru,accent,level,frequency_rank,rarity,register,ipa_uk,ipa_us,example,example_ru
45,1,home,дом,both,A0,33,не редкое,разговорная,/home/,/home/,I am at home.,Я дома.
46,1,family,семья,both,A0,261,не редкое,разговорная,/family/,/family/,My family is big.,Моя семья большая.
47,1,friend,друг,both,A0,502,не редкое,разговорная,/friend/,/friend/,He is my friend.,Он мой друг.
48,1,man,мужчина,both,A0,412,не редкое,разговорная,/man/,/man/,That man is tall.,Тот мужчина высокий.
49,1,woman,женщина,both,A0,1131,не редкое,разговорная,/woman/,/woman/,The woman is kind.,Женщина добрая.
50,1,boy,мальчик,both,A0,1386,не редкое,разговорная,/boy/,/boy/,The boy is happy.,Мальчик счастлив.
51,1,girl,девочка,both,A0,898,не редкое,разговорная,/girl/,/girl/,The girl can sing.,Девочка умеет петь.
52,1,love,любить,both,A0,369,не редкое,разговорная,/love/,/love/,I love my family.,Я люблю свою семью.
53,1,like,нравиться,both,A0,96,не редкое,разговорная,/like/,/like/,I like coffee.,Мне нравится кофе.
54,1,want,хотеть,both,A0,253,не редкое,разговорная,/want/,/want/,I want tea.,Я хочу чай.
55,1,need,нуждаться,both,A0,182,не редкое,разговорная,/need/,/need/,I need help.,Мне нужна помощь.
56,1,go,идти,both,A0,123,не редкое,разговорная,/go/,/go/,I go to work.,Я иду на работу.
57,1,come,приходить,both,A0,503,не редкое,разговорная,/come/,/come/,Come with me.,Пойди со мной.
58,1,stop,остановиться,both,A0,1034,не редкое,разговорная,/stop/,/stop/,Stop here.,Остановись здесь.
59,1,help,помочь,both,A0,76,не редкое,разговорная,/help/,/help/,"Help me, please.","Помоги мне, пожалуйста."
60,1,species,видов,both,A1,1848,не редкое,разговорная,/species/,/species/,This is a species.,Это видов.
61,1,practice,практика,both,A1,952,не редкое,разговорная,/practice/,/practice/,This is a practice.,Это практика.
62,1,natural,природные,both,A1,756,не редкое,официальная,/natural/,/natural/,It is natural.,Это природные.
63,1,measure,меру,both,A1,2462,не редкое,разговорная,/measure/,/measure/,This is a measure.,Это меру.
64,1,present,присутствует,both,A1,802,не редкое,разговорная,/present/,/present/,This is a present.,Это присутствует.
65,1,form,форма,both,A1,367,не редкое,разговорная,/form/,/form/,This is a form.,Это форма.
66,1,order,заказ,both,A1,173,не редкое,разговорная,/order/,/order/,This is a order.,Это заказ.
67,1,quality,качество,both,A1,391,не редкое,официальная,/quality/,/quality/,It is quality.,Это качество.
68,1,condition,состояние,both,A1,1063,не редкое,официальная,/condition/,/condition/,This is a condition.,Это состояние.
69,1,state,государство,both,A1,111,не редкое,официальная,/state/,/state/,This is a state.,Это государство.
70,1,action,действие,both,A1,472,не редкое,официальная,/action/,/action/,This is a action.,Это действие.
71,1,element,элемент,both,A1,2202,не редкое,официальная,/element/,/element/,This is a element.,Это элемент.
72,1,part,часть,both,A1,206,не редкое,разговорная,/part/,/part/,This is a part.,Это часть.
73,1,division,отдел,both,A1,1143,не редкое,официальная,/division/,/division/,This is a division.,Это отдел.
74,1,subject,тема,both,A1,258,не редкое,разговорная,/subject/,/subject/,This is a subject.,Это тема.
75,1,ground,землю,both,A1,1341,не редкое,разговорная,/ground/,/ground/,This is a ground.,Это землю.
76,1,power,мощность,both,A1,306,не редкое,разговорная,/power/,/power/,This is a power.,Это мощность.
77,1,station,станция,both,A1,1302,не редкое,официальная,/station/,/station/,This is a station.,Это станция.
78,1,register,зарегистрироваться,both,A1,464,не редкое,разговорная,/register/,/register/,This is a register.,Это зарегистрироваться.
79,1,person,человек,both,A1,531,не редкое,разговорная,/person/,/person/,This is a person.,Это человек.
80,1,place,место,both,A1,315,не редкое,разговорная,/place/,/place/,This is a place.,Это место.
81,1,ordinary,обычные,both,A1,4641,редкое,официальная,/ordinary/,/ordinary/,It is ordinary.,Это обычные.
82,1,strong,сильный,both,A1,1335,не редкое,разговорная,/strong/,/strong/,This is a strong.,Это сильный.
83,1,under,под,both,A1,189,не редкое,разговорная,/under/,/under/,This is under.,Это под.
84,1,make,сделать,both,A1,132,не редкое,разговорная,/make/,/make/,I make every day.,Я сделать каждый день.
85,1,light,свет,both,A1,612,не редкое,разговорная,/light/,/light/,This is a light.,Это свет.
86,1,exercise,упражнения,both,A1,2027,не редкое,разговорная,/exercise/,/exercise/,This is a exercise.,Это упражнения.
87,1,exchange,обмен,both,A1,1046,не редкое,разговорная,/exchange/,/exchange/,This is a exchange.,Это обмен.
88,1,parallel,параллельно,both,A1,3898,редкое,разговорная,/parallel/,/parallel/,This is a parallel.,Это параллельно.
89,1,charge,заряд,both,A1,1445,не редкое,разговорная,/charge/,/charge/,This is a charge.,Это заряд.
90,1,support,поддержка,both,A1,148,не редкое,разговорная,/support/,/support/,This is a support.,Это поддержка.
91,1,substance,вещество,both,A1,4262,редкое,официальная,/substance/,/substance/,This is a substance.,Это вещество.
92,1,figure,рис.,both,A1,954,не редкое,разговорная,/figure/,/figure/,This is a figure.,Это рис..
93,1,strength,сила,both,A1,2791,не редкое,разговорная,/strength/,/strength/,This is a strength.,Это сила.
94,1,sound,звук,both,A1,800,не редкое,разговорная,/sound/,/sound/,This is a sound.,Это звук.
95,1,service,услуги,both,A1,97,не редкое,официальная,/service/,/service/,This is a service.,Это услуги.
96,1,quantity,количество,both,A1,2109,не редкое,официальная,/quantity/,/quantity/,It is quantity.,Это количество.
97,1,standard,стандарт,both,A1,529,не редкое,разговорная,/standard/,/standard/,This is a standard.,Это стандарт.
98,1,right,право,both,A1,233,не редкое,разговорная,/right/,/right/,This is a right.,Это право.
99,1,point,точка,both,A1,437,не редкое,разговорная,/point/,/point/,This is a point.,Это точка.
100,1,character,характер,both,A1,1578,не редкое,разговорная,/character/,/character/,This is a character.,Это характер.
101,1,strike,удар,both,A1,3846,редкое,разговорная,/strike/,/strike/,This is a strike.,Это удар.
102,1,discharge,разряда,both,A1,5622,редкое,официальная,/discharge/,/discharge/,This is a discharge.,Это разряда.
103,1,force,силу,both,A1,1018,не редкое,разговорная,/force/,/force/,This is a force.,Это силу.
104,1,return,вернуться,both,A1,356,не редкое,разговорная,/return/,/return/,This is a return.,Это вернуться.
105,1,spring,весна,both,A1,1245,не редкое,разговорная,/spring/,/spring/,I spring every day.,Я весна каждый день.
106,1,square,площадь,both,A1,1822,не редкое,разговорная,/square/,/square/,This is a square.,Это площадь.
107,1,between,между,both,A1,259,не редкое,разговорная,/between/,/between/,This is between.,Это между.
108,1,without,без,both,A1,321,не редкое,разговорная,/without/,/without/,This is without.,Это без.
109,1,spirit,дух,both,A1,2163,не редкое,разговорная,/spirit/,/spirit/,This is a spirit.,Это дух.
110,1,distance,расстояние,both,A1,1362,не редкое,официальная,/distance/,/distance/,This is a distance.,Это расстояние.
111,1,contract,договор,both,A1,1200,не редкое,разговорная,/contract/,/contract/,This is a contract.,Это договор.
112,1,positive,положительные,both,A1,1459,не редкое,официальная,/positive/,/positive/,It is positive.,Это положительные.
113,1,position,положение,both,A1,917,не редкое,официальная,/position/,/position/,This is a position.,Это положение.
114,1,straight,прям,both,A1,2421,не редкое,разговорная,/straight/,/straight/,This is a straight.,Это прям.
115,1,moderate,умеренный,both,A1,5359,редкое,разговорная,/moderate/,/moderate/,This is a moderate.,Это умеренный.
116,1,double,двойной,both,A1,1042,не редкое,разговорная,/double/,/double/,This is a double.,Это двойной.
117,1,superior,улучшенный,both,A1,3699,редкое,разговорная,/superior/,/superior/,This is a superior.,Это улучшенный.
118,1,certain,некоторые,both,A1,1096,не редкое,разговорная,/certain/,/certain/,This is a certain.,Это некоторые.
119,1,compound,соединение,both,A1,6395,редкое,разговорная,/compound/,/compound/,This is a compound.,Это соединение.
120,1,interest,интерес,both,A1,652,не редкое,разговорная,/interest/,/interest/,This is a interest.,Это интерес.
121,1,language,язык,both,A1,561,не редкое,разговорная,/language/,/language/,This is a language.,Это язык.
122,1,passage,проход,both,A1,5660,редкое,разговорная,/passage/,/passage/,This is a passage.,Это проход.
123,1,business,бизнес,both,A1,71,не редкое,официальная,/business/,/business/,This is a business.,Это бизнес.
124,1,through,через,both,A1,166,не редкое,разговорная,/through/,/through/,This is a through.,Это через.
125,1,manner,образом,both,A1,2784,не редкое,разговорная,/manner/,/manner/,This is a manner.,Это образом.
126,1,relation,отношения,both,A1,3360,редкое,официальная,/relation/,/relation/,This is a relation.,Это отношения.
127,1,general,общие,both,A1,190,не редкое,официальная,/general/,/general/,It is general.,Это общие.
128,1,process,процесс,both,A1,430,не редкое,разговорная,/process/,/process/,This is a process.,Это процесс.
129,1,strain,штамм,both,A1,6535,редкое,разговорная,/strain/,/strain/,This is a strain.,Это штамм.
130,1,delicate,нежный,both,A1,15000,очень редкое,разговорная,/delicate/,/delicate/,This is a delicate.,Это нежный.
131,1,bearing,подшипник,both,A1,5854,редкое,разговорная,/bearing/,/bearing/,I bearing every day.,Я подшипник каждый день.
132,1,property,собственность,both,A1,386,не редкое,разговорная,/property/,/property/,It is property.,Это собственность.
133,1,advance,заранее,both,A1,1825,не редкое,официальная,/advance/,/advance/,This is a advance.,Это заранее.
134,1,account,счета,both,A1,360,не редкое,разговорная,/account/,/account/,This is a account.,Это счета.
135,1,original,оригинал,both,A1,688,не редкое,официальная,/original/,/original/,It is original.,Это оригинал.
136,1,religion,религия,both,A1,2006,не редкое,разговорная,/religion/,/religion/,This is a religion.,Это религия.
137,1,round,круглый,both,A1,1304,не редкое,разговорная,/round/,/round/,This is a round.,Это круглый.
138,1,over,за,both,A1,110,не редкое,разговорная,/over/,/over/,This is over.,Это за.
139,1,principal,основные,both,A1,2808,не редкое,официальная,/principal/,/principal/,It is principal.,Это основные.
140,1,sharp,острый,both,A1,3064,редкое,разговорная,/sharp/,/sharp/,This is a sharp.,Это острый.
141,1,surface,поверхность,both,A1,1643,не редкое,разговорная,/surface/,/surface/,This is a surface.,Это поверхность.
142,1,line,линия,both,A1,227,не редкое,разговорная,/line/,/line/,This is a line.,Это линия.
143,1,degree,степень,both,A1,1199,не редкое,разговорная,/degree/,/degree/,This is a degree.,Это степень.
144,1,report,отчет,both,A1,223,не редкое,разговорная,/report/,/report/,This is a report.,Это отчет.
145,1,course,конечно,both,A1,427,не редкое,разговорная,/course/,/course/,This is a course.,Это конечно.
146,1,matter,вопрос,both,A1,1207,не редкое,разговорная,/matter/,/matter/,This is a matter.,Это вопрос.
147,1,sentence,приговор,both,A1,4668,редкое,официальная,/sentence/,/sentence/,This is a sentence.,Это приговор.
148,1,body,тело,both,A1,569,не редкое,разговорная,/body/,/body/,It is body.,Это тело.
149,1,express,экспресс,both,A1,1360,не редкое,разговорная,/express/,/express/,This is a express.,Это экспресс.
150,1,close,рядом,both,A1,732,не редкое,разговорная,/close/,/close/,This is a close.,Это рядом.
151,1,quarter,четверть,both,A1,2209,не редкое,разговорная,/quarter/,/quarter/,This is a quarter.,Это четверть.
152,1,head,глава,both,A1,689,не редкое,разговорная,/head/,/head/,This is a head.,Это глава.
153,1,negative,негативные,both,A1,2584,не редкое,официальная,/negative/,/negative/,It is negative.,Это негативные.
154,1,take,взять,both,A1,245,не редкое,разговорная,/take/,/take/,I take every day.,Я взять каждый день.
155,1,plant,завод,both,A1,1541,не редкое,разговорная,/plant/,/plant/,This is a plant.,Это завод.
156,1,argument,аргумент,both,A1,2061,не редкое,официальная,/argument/,/argument/,This is a argument.,Это аргумент.
157,1,increase,увеличение,both,A1,981,не редкое,разговорная,/increase/,/increase/,This is a increase.,Это увеличение.
158,1,movement,движение,both,A1,2273,не редкое,официальная,/movement/,/movement/,This is a movement.,Это движение.
159,1,table,Таблица,both,A1,463,не редкое,разговорная,/table/,/table/,It is table.,Это Таблица.
160,1,balance,баланс,both,A1,1949,не редкое,официальная,/balance/,/balance/,This is a balance.,Это баланс.
161,1,separate,отдельно,both,A1,2208,не редкое,разговорная,/separate/,/separate/,This is a separate.,Это отдельно.
162,1,small,небольшой,both,A1,349,не редкое,разговорная,/small/,/small/,This is a small.,Это небольшой.
163,1,back,назад,both,A1,103,не редкое,разговорная,/back/,/back/,This is a back.,Это назад.
164,1,entrance,вход,both,A1,5149,редкое,официальная,/entrance/,/entrance/,This is a entrance.,Это вход.
165,1,settle,поселиться,both,A1,8521,очень редкое,разговорная,/settle/,/settle/,This is a settle.,Это поселиться.
166,1,reason,причина,both,A1,1242,не редкое,официальная,/reason/,/reason/,This is a reason.,Это причина.
167,1,machine,машина,both,A1,1149,не редкое,разговорная,/machine/,/machine/,This is a machine.,Это машина.
168,1,common,общие,both,A1,733,не редкое,разговорная,/common/,/common/,This is a common.,Это общие.
169,1,material,материал,both,A1,809,не редкое,официальная,/material/,/material/,It is material.,Это материал.
170,1,scale,масштаб,both,A1,1765,не редкое,разговорная,/scale/,/scale/,This is a scale.,Это масштаб.
171,1,authority,власти,both,A1,1424,не редкое,официальная,/authority/,/authority/,It is authority.,Это власти.
172,1,capable,способен,both,A1,4218,редкое,разговорная,/capable/,/capable/,It is capable.,Это способен.
173,1,anything,ничего,both,A1,1061,не редкое,разговорная,/anything/,/anything/,I anything every day.,Я ничего каждый день.
174,1,regular,регулярные,both,A1,1295,не редкое,разговорная,/regular/,/regular/,This is a regular.,Это регулярные.
175,1,stock,акции,both,A1,433,не редкое,разговорная,/stock/,/stock/,This is a stock.,Это акции.
176,1,break,перерыв,both,A1,1608,не редкое,разговорная,/break/,/break/,This is a break.,Это перерыв.
177,1,opposite,наоборот,both,A1,5364,редкое,разговорная,/opposite/,/opposite/,This is a opposite.,Это наоборот.
178,1,into,в,both,A1,114,не редкое,разговорная,/into/,/into/,This is into.,Это в.
179,1,distress,бедствия,both,A1,15000,очень редкое,разговорная,/distress/,/distress/,This is a distress.,Это бедствия.
180,1,work,работа,both,A1,125,не редкое,разговорная,/work/,/work/,I work every day.,Я работа каждый день.
181,1,standing,стоя,both,A1,2810,не редкое,разговорная,/standing/,/standing/,I standing every day.,Я стоя каждый день.
182,1,cross,крест,both,A1,1079,не редкое,разговорная,/cross/,/cross/,This is a cross.,Это крест.
183,1,number,количество,both,A1,143,не редкое,разговорная,/number/,/number/,This is a number.,Это количество.
184,1,stroke,инсульт,both,A1,5524,редкое,разговорная,/stroke/,/stroke/,This is a stroke.,Это инсульт.
185,1,convert,преобразования,both,A1,4129,редкое,разговорная,/convert/,/convert/,This is a convert.,Это преобразования.
186,1,radical,радикальные,both,A1,6880,редкое,официальная,/radical/,/radical/,It is radical.,Это радикальные.
187,1,relative,относительный,both,A1,2902,не редкое,официальная,/relative/,/relative/,It is relative.,Это относительный.
188,1,function,функция,both,A1,849,не редкое,официальная,/function/,/function/,This is a function.,Это функция.
189,1,stand,стенд,both,A1,1766,не редкое,разговорная,/stand/,/stand/,I stand every day.,Я стенд каждый день.
190,1,press,пресс,both,A1,421,не редкое,разговорная,/press/,/press/,This is a press.,Это пресс.
191,1,question,вопрос,both,A1,591,не редкое,официальная,/question/,/question/,This is a question.,Это вопрос.
192,1,peculiar,своеобразный,both,A1,15000,очень редкое,разговорная,/peculiar/,/peculiar/,This is a peculiar.,Это своеобразный.
193,1,progress,прогресс,both,A1,1716,не редкое,разговорная,/progress/,/progress/,This is a progress.,Это прогресс.
194,1,together,вместе,both,A1,845,не редкое,разговорная,/together/,/together/,This is a together.,Это вместе.
195,1,touch,сенсорный,both,A1,2173,не редкое,разговорная,/touch/,/touch/,This is a touch.,Это сенсорный.
196,1,capacity,емкость,both,A1,1676,не редкое,официальная,/capacity/,/capacity/,It is capacity.,Это емкость.
197,1,physical,физические,both,A1,1265,не редкое,официальная,/physical/,/physical/,It is physical.,Это физические.
198,1,horse,лошадь,both,A1,1394,не редкое,разговорная,/horse/,/horse/,This is a horse.,Это лошадь.
199,1,specific,конкретные,both,A1,735,не редкое,разговорная,/specific/,/specific/,It is specific.,Это конкретные.
200,1,external,внешние,both,A1,1632,не редкое,официальная,/external/,/external/,It is external.,Это внешние.
201,1,produce,производим,both,A1,2253,не редкое,разговорная,/produce/,/produce/,This is a produce.,Это производим.
202,1,incapable,неспособный,both,A1,15000,очень редкое,официальная,/incapable/,/incapable/,It is incapable.,Это неспособный.
203,1,passion,страсть,both,A1,4916,редкое,официальная,/passion/,/passion/,This is a passion.,Это страсть.
204,1,represent,представляют,both,A1,2951,не редкое,разговорная,/represent/,/represent/,This is a represent.,Это представляют.
205,1,promise,обещаю,both,A1,4302,редкое,разговорная,/promise/,/promise/,This is a promise.,Это обещаю.
206,1,tender,тендер,both,A1,6662,редкое,разговорная,/tender/,/tender/,This is a tender.,Это тендер.
207,1,issue,вопрос,both,A1,603,не редкое,официальная,/issue/,/issue/,This is a issue.,Это вопрос.
208,1,range,диапазон,both,A1,604,не редкое,разговорная,/range/,/range/,This is a range.,Это диапазон.
209,1,domestic,отечественные,both,A1,2229,не редкое,разговорная,/domestic/,/domestic/,It is domestic.,Это отечественные.
210,1,shoulder,плечо,both,A1,5321,редкое,разговорная,/shoulder/,/shoulder/,This is a shoulder.,Это плечо.
211,1,change,изменение,both,A1,346,не редкое,разговорная,/change/,/change/,I change every day.,Я изменение каждый день.
212,1,approach,подход,both,A1,1262,не редкое,разговорная,/approach/,/approach/,This is a approach.,Это подход.
213,1,transfer,перевод,both,A1,1332,не редкое,разговорная,/transfer/,/transfer/,This is a transfer.,Это перевод.
214,1,carriage,перевозки,both,A1,15000,очень редкое,разговорная,/carriage/,/carriage/,This is a carriage.,Это перевозки.
215,1,feeling,чувство,both,A1,2910,не редкое,разговорная,/feeling/,/feeling/,I feeling every day.,Я чувство каждый день.
216,1,security,безопасности,both,A1,298,не редкое,официальная,/security/,/security/,It is security.,Это безопасности.
217,1,something,что-то,both,A1,588,не редкое,разговорная,/something/,/something/,I something every day.,Я что-то каждый день.
218,1,direction,направление,both,A1,2351,не редкое,официальная,/direction/,/direction/,This is a direction.,Это направление.
219,1,pressure,давление,both,A1,1599,не редкое,разговорная,/pressure/,/pressure/,This is a pressure.,Это давление.
220,1,frame,рамка,both,A1,1772,не редкое,разговорная,/frame/,/frame/,This is a frame.,Это рамка.
221,1,free,бесплатно,both,A1,42,не редкое,разговорная,/free/,/free/,This is a free.,Это бесплатно.
222,1,company,компания,both,A1,178,не редкое,официальная,/company/,/company/,It is company.,Это компания.
223,1,inferior,уступает,both,A1,15000,очень редкое,разговорная,/inferior/,/inferior/,This is a inferior.,Это уступает.
224,1,distinct,различных,both,A1,5962,редкое,разговорная,/distinct/,/distinct/,This is a distinct.,Это различных.
225,1,variety,разнообразие,both,A1,1647,не редкое,разговорная,/variety/,/variety/,It is variety.,Это разнообразие.
226,1,solution,решение,both,A1,1087,не редкое,официальная,/solution/,/solution/,This is a solution.,Это решение.
227,1,capital,капитал,both,A1,1159,не редкое,официальная,/capital/,/capital/,It is capital.,Это капитал.
228,1,grain,зерна,both,A1,5997,редкое,разговорная,/grain/,/grain/,This is a grain.,Это зерна.
229,1,deposit,депозит,both,A1,3781,редкое,разговорная,/deposit/,/deposit/,This is a deposit.,Это депозит.
230,1,circular,круговой,both,A1,7221,редкое,разговорная,/circular/,/circular/,This is a circular.,Это круговой.
231,1,receive,получите,both,A1,905,не редкое,официальная,/receive/,/receive/,It is receive.,Это получите.
232,1,pleasure,удовольствие,both,A1,4147,редкое,разговорная,/pleasure/,/pleasure/,This is a pleasure.,Это удовольствие.
233,1,particular,особое,both,A1,1109,не редкое,разговорная,/particular/,/particular/,This is a particular.,Это особое.
234,1,office,офис,both,A1,240,не редкое,официальная,/office/,/office/,This is a office.,Это офис.
235,1,faculty,факультет,both,A1,1553,не редкое,разговорная,/faculty/,/faculty/,It is faculty.,Это факультет.
236,1,motion,движения,both,A1,1859,не редкое,официальная,/motion/,/motion/,This is a motion.,Это движения.
237,1,personal,личные,both,A1,338,не редкое,официальная,/personal/,/personal/,It is personal.,Это личные.
238,1,country,страна,both,A1,395,не редкое,разговорная,/country/,/country/,It is country.,Это страна.
239,1,narrow,узкие,both,A1,3851,редкое,разговорная,/narrow/,/narrow/,This is a narrow.,Это узкие.
240,1,occasion,случай,both,A1,5401,редкое,официальная,/occasion/,/occasion/,This is a occasion.,Это случай.
241,1,open,открыть,both,A1,282,не редкое,разговорная,/open/,/open/,This is a open.,Это открыть.
242,1,addition,дополнение,both,A1,1092,не редкое,официальная,/addition/,/addition/,This is a addition.,Это дополнение.
243,1,second,второй,both,A1,485,не редкое,разговорная,/second/,/second/,This is a second.,Это второй.
244,1,complete,полное,both,A1,521,не редкое,разговорная,/complete/,/complete/,This is a complete.,Это полное.
245,1,short,короткое,both,A1,743,не редкое,разговорная,/short/,/short/,This is a short.,Это короткое.
246,1,ancient,древние,both,A1,3255,редкое,разговорная,/ancient/,/ancient/,This is a ancient.,Это древние.
247,1,contrary,наоборот,both,A1,6730,редкое,официальная,/contrary/,/contrary/,It is contrary.,Это наоборот.
248,1,serve,служить,both,A1,2183,не редкое,разговорная,/serve/,/serve/,This is a serve.,Это служить.
249,1,disorder,расстройство,both,A1,5210,редкое,разговорная,/disorder/,/disorder/,This is a disorder.,Это расстройство.
250,1,crown,корона,both,A1,4174,редкое,разговорная,/crown/,/crown/,This is a crown.,Это корона.
251,1,mark,Марк,both,A1,830,не редкое,разговорная,/mark/,/mark/,This is a mark.,Это Марк.
252,1,weight,вес,both,A1,883,не редкое,разговорная,/weight/,/weight/,This is a weight.,Это вес.
253,1,large,большие,both,A1,461,не редкое,разговорная,/large/,/large/,This is a large.,Это большие.
254,1,white,белый,both,A1,347,не редкое,разговорная,/white/,/white/,This is a white.,Это белый.
255,1,tongue,язык,both,A1,6109,редкое,разговорная,/tongue/,/tongue/,This is a tongue.,Это язык.
256,1,mountain,горы,both,A1,1513,не редкое,разговорная,/mountain/,/mountain/,This is a mountain.,Это горы.
257,1,address,адрес,both,A1,248,не редкое,разговорная,/address/,/address/,This is a address.,Это адрес.
258,1,vessel,судно,both,A1,6733,редкое,разговорная,/vessel/,/vessel/,This is a vessel.,Это судно.
259,1,throw,бросить,both,A1,4358,редкое,разговорная,/throw/,/throw/,This is a throw.,Это бросить.
260,1,science,наука,both,A1,439,не редкое,официальная,/science/,/science/,This is a science.,Это наука.
261,1,system,система,both,A1,136,не редкое,официальная,/system/,/system/,This is a system.,Это система.
262,1,turn,поворот,both,A1,1003,не редкое,разговорная,/turn/,/turn/,I turn every day.,Я поворот каждый день.
263,1,object,объект,both,A1,1146,не редкое,разговорная,/object/,/object/,This is a object.,Это объект.
264,1,temper,закал,both,A1,15000,очень редкое,разговорная,/temper/,/temper/,This is a temper.,Это закал.
265,1,internal,внутренние,both,A1,1565,не редкое,официальная,/internal/,/internal/,It is internal.,Это внутренние.
266,1,base,база,both,A1,984,не редкое,разговорная,/base/,/base/,This is a base.,Это база.
267,1,pass,пройти,both,A1,1485,не редкое,разговорная,/pass/,/pass/,This is a pass.,Это пройти.
268,1,familiar,знакомы,both,A1,4217,редкое,разговорная,/familiar/,/familiar/,This is a familiar.,Это знакомы.
269,1,principle,принцип,both,A1,4180,редкое,официальная,/principle/,/principle/,This is a principle.,Это принцип.
270,1,another,другой,both,A1,383,не редкое,разговорная,/another/,/another/,This is a another.,Это другой.
271,1,hold,держать,both,A1,1271,не редкое,разговорная,/hold/,/hold/,This is a hold.,Это держать.
